"Genre Id","Servie Tmdb Id","Servie Type"
"8","771","movie"
"2","772","movie"
"4","772","movie"
"8","772","movie"
"7","783","movie"
"10","783","movie"
"1","787","movie"
"4","787","movie"
"7","787","movie"
"23","787","movie"
"5","807","movie"
"14","807","movie"
"23","807","movie"
"2","808","movie"
"3","808","movie"
"4","808","movie"
"8","808","movie"
"9","808","movie"
"2","809","movie"
"3","809","movie"
"4","809","movie"
"8","809","movie"
"9","809","movie"
"2","810","movie"
"3","810","movie"
"4","810","movie"
"8","810","movie"
"9","810","movie"
"2","812","movie"
"3","812","movie"
"8","812","movie"
"9","812","movie"
"18","812","movie"
"7","853","movie"
"10","853","movie"
"24","853","movie"
"4","854","movie"
"5","854","movie"
"9","854","movie"
"18","854","movie"
"2","862","movie"
"3","862","movie"
"4","862","movie"
"8","862","movie"
"3","863","movie"
"4","863","movie"
"8","863","movie"
"7","881","movie"
"3","890","tv"
"7","890","tv"
"9","890","tv"
"19","890","tv"
"2","920","movie"
"3","920","movie"
"4","920","movie"
"8","920","movie"
"2","950","movie"
"3","950","movie"
"4","950","movie"
"8","950","movie"
"2","953","movie"
"3","953","movie"
"4","953","movie"
"8","953","movie"
"1","954","movie"
"2","954","movie"
"23","954","movie"
"1","955","movie"
"2","955","movie"
"23","955","movie"
"1","956","movie"
"2","956","movie"
"23","956","movie"
"7","1124","movie"
"14","1124","movie"
"19","1124","movie"
"7","1246","movie"
"1","1250","movie"
"9","1250","movie"
"23","1250","movie"
"4","1268","movie"
"8","1268","movie"
"1","1271","movie"
"2","1271","movie"
"24","1271","movie"
"7","1278","movie"
"18","1278","movie"
"2","1281","movie"
"4","1281","movie"
"8","1281","movie"
"5","1359","movie"
"7","1359","movie"
"23","1359","movie"
"7","1364","movie"
"18","1364","movie"
"7","1366","movie"
"18","1366","movie"
"7","1367","movie"
"1","1368","movie"
"2","1368","movie"
"23","1368","movie"
"24","1368","movie"
"1","1369","movie"
"2","1369","movie"
"23","1369","movie"
"24","1369","movie"
"1","1370","movie"
"2","1370","movie"
"23","1370","movie"
"24","1370","movie"
"7","1371","movie"
"1","1372","movie"
"7","1372","movie"
"23","1372","movie"
"7","1374","movie"
"7","1375","movie"
"5","1396","tv"
"7","1396","tv"
"1","1399","tv"
"2","1399","tv"
"7","1399","tv"
"9","1399","tv"
"19","1399","tv"
"7","1402","movie"
"5","1422","movie"
"7","1422","movie"
"23","1422","movie"
"1","1429","tv"
"2","1429","tv"
"3","1429","tv"
"9","1429","tv"
"19","1429","tv"
"3","1434","tv"
"4","1434","tv"
"1","1452","movie"
"2","1452","movie"
"19","1452","movie"
"1","1487","movie"
"9","1487","movie"
"7","1491","movie"
"9","1491","movie"
"18","1491","movie"
"23","1491","movie"
"1","1571","movie"
"23","1571","movie"
"1","1572","movie"
"23","1572","movie"
"1","1573","movie"
"23","1573","movie"
"1","1576","movie"
"11","1576","movie"
"19","1576","movie"
"1","1577","movie"
"11","1577","movie"
"19","1577","movie"
"4","1581","movie"
"18","1581","movie"
"4","1584","movie"
"13","1584","movie"
"7","1587","movie"
"18","1587","movie"
"1","1593","movie"
"2","1593","movie"
"4","1593","movie"
"8","1593","movie"
"9","1593","movie"
"4","1624","movie"
"1","1635","movie"
"2","1635","movie"
"19","1635","movie"
"23","1635","movie"
"1","1637","movie"
"2","1637","movie"
"5","1637","movie"
"1","1639","movie"
"2","1639","movie"
"23","1639","movie"
"4","1668","tv"
"1","1724","movie"
"2","1724","movie"
"19","1724","movie"
"1","1726","movie"
"2","1726","movie"
"19","1726","movie"
"1","1729","movie"
"2","1729","movie"
"9","1729","movie"
"1","1734","movie"
"2","1734","movie"
"9","1734","movie"
"1","1735","movie"
"2","1735","movie"
"9","1735","movie"
"1","1738","movie"
"19","1738","movie"
"23","1738","movie"
"1","1771","movie"
"2","1771","movie"
"19","1771","movie"
"4","1824","movie"
"18","1824","movie"
"1","1858","movie"
"2","1858","movie"
"19","1858","movie"
"1","1865","movie"
"2","1865","movie"
"9","1865","movie"
"1","1885","movie"
"7","1885","movie"
"8","1885","movie"
"1","1891","movie"
"2","1891","movie"
"19","1891","movie"
"1","1892","movie"
"2","1892","movie"
"19","1892","movie"
"1","1893","movie"
"2","1893","movie"
"19","1893","movie"
"1","1894","movie"
"2","1894","movie"
"19","1894","movie"
"1","1895","movie"
"2","1895","movie"
"19","1895","movie"
"7","1902","movie"
"19","1902","movie"
"23","1902","movie"
"7","1903","movie"
"9","1903","movie"
"14","1903","movie"
"18","1903","movie"
"19","1903","movie"
"23","1903","movie"
"2","1907","movie"
"7","1907","movie"
"18","1907","movie"
"23","1907","movie"
"1","1924","movie"
"2","1924","movie"
"19","1924","movie"
"1","1930","movie"
"2","1930","movie"
"9","1930","movie"
"5","1949","movie"
"7","1949","movie"
"14","1949","movie"
"23","1949","movie"
"1","1979","movie"
"2","1979","movie"
"9","1979","movie"
"23","1979","movie"
"1","1995","movie"
"2","1995","movie"
"9","1995","movie"
"23","1995","movie"
"1","1996","movie"
"2","1996","movie"
"9","1996","movie"
"23","1996","movie"
"1","2048","movie"
"19","2048","movie"
"3","2062","movie"
"4","2062","movie"
"8","2062","movie"
"9","2062","movie"
"1","2080","movie"
"2","2080","movie"
"19","2080","movie"
"23","2080","movie"
"1","2086","movie"
"5","2086","movie"
"23","2086","movie"
"4","2105","movie"
"18","2105","movie"
"4","2108","movie"
"7","2108","movie"
"1","2109","movie"
"4","2109","movie"
"5","2109","movie"
"1","2119","movie"
"2","2119","movie"
"7","2119","movie"
"7","2251","movie"
"23","2251","movie"
"7","2253","movie"
"23","2253","movie"
"24","2253","movie"
"2","2268","movie"
"9","2268","movie"
"4","2316","tv"
"7","2355","movie"
"2","2454","movie"
"8","2454","movie"
"9","2454","movie"
"1","2501","movie"
"7","2501","movie"
"14","2501","movie"
"23","2501","movie"
"1","2502","movie"
"7","2502","movie"
"23","2502","movie"
"1","2503","movie"
"7","2503","movie"
"14","2503","movie"
"23","2503","movie"
"7","2567","movie"
"4","2698","movie"
"8","2698","movie"
"9","2698","movie"
"4","2770","movie"
"18","2770","movie"
"11","3021","movie"
"14","3021","movie"
"23","3021","movie"
"2","3049","movie"
"4","3049","movie"
